# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6M of event 'cycles:u'
# Event count (approx.): 5575767895953
#
# Overhead  Command         Shared Object             Symbol                                                                                                                                                            
# ........  ..............  ........................  ..................................................................................................................................................................
#
     0.00%  benchmark-blas  libmkl_core.so.2          [.] mkl_serv_lock
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c437b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a88c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818001d6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81026574
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103084
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac950
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba6ef
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8104fbfb
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a859
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a851
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817dae91
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810fd138
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e41d3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810490f3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db7d6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a94f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3ed0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a85b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810fd120
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110f2db
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d8ace
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db657
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d8ac1
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db779
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a9d7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8107aec5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810490d7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800ea0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118b5e9
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba310
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81026585
     0.00%  benchmark-blas  libmkl_avx2.so.2          [.] getPointer_buffer
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e44
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110c185
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba35c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3da
     0.00%  benchmark-blas  libmkl_avx2.so.2          [.] mkl_blas_avx2_dgemm_copybn
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810d85c7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3a5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db66a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f22
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba31e
     0.00%  benchmark-blas  libiomp5.so               [.] __kmpc_end_critical
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba38a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810fadf0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e23
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3df1
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e8e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e82
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf68
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adfc0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a9f6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f20
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c42ac
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8107af01
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3eb6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8113d87e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba68f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a6b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4495
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f05
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800178
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e43b1
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b4b48
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8180007c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8107aec0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e91
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e43a9
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81801400
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118aa59
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800185
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810d85b6
     0.00%  benchmark-blas  libmkl_intel_thread.so.2  [.] getPointer_notrans
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118aa02
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800089
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a852
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103744
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118b5e0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800091
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3d7a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81026533
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4285
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db688
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db770
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db7aa
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810fd14c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba68b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db7a0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b4b30
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba34c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac91c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e43a6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac8cd
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a4f
     0.00%  benchmark-blas  libiomp5.so               [.] _INTERNAL4093ea9e::__kmp_release_queuing_lock
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103060
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8107aedd
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db656
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81026582
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810d85a8
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103769
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db796
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818000a5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118b5e7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818000d4
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a83
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e46d4
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e5f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba6f0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e46
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac957
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81026516
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110f344
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110375c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800104
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e54
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81028a04
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4474
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8102652b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf9a
     0.00%  benchmark-blas  libmkl_avx2.so.2          [.] mkl_blas_avx2_dgemm_ker0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d8abb
     0.00%  benchmark-blas  libiomp5.so               [.] __kmp_join_barrier
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e4062
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba343
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3d98
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4332
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4299
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800119
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818000f3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3f6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103737
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba325
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110f37a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81801998
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8104910a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3df0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818001d2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818019d5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8113d85c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b676d
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818001d3
     0.00%  benchmark-blas  libiomp5.so               [.] rml::internal::AllLocalCaches::unregisterThread
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810490c5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db827
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817daea2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81026536
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a9eb
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81801241
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110f2fa
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3da1
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a9d9
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81028a2e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800101
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e4060
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6aa7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8180018b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba317
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800173
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81026558
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110c1a7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818019da
     0.00%  benchmark-blas  libiomp5.so               [.] __kmp_finish_implicit_task
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d8ab3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103081
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6760
